areaSource|areaSourceHigh|areaSourceLow|areaTotal|associationId|datlocation|depth|endtime|eventid|h|hHigh|hLow|hfall|hfall_high|hfall_low|l|lHigh|lLow|latitude|locuncertKm|longitude|lppotential|mass|massHigh|massLow|maxdistvhfKm|maxdistvhfReached|maxdisthfKm|maxdisthfReached|maxdistipKm|maxdistipReached|maxdistlpKm|maxdistlpReached|maxdistinfraKm|maxdistinfraReached|infraDetected|name|otherdataquality1to5|peakDischarge|peakDischargeLow|peakDischargeHigh|peakFlowheight|peakFlowheightLow|peakFlowheightHigh|starttime|sources|toeLat|toeLon|topLat|topLon|upstreamDrainarea|type|subtype|volume|volumeHigh|volumeLow
||||77|IRIS||2006_07_25 221514|77||||||||||48.7683|0.1|-121.8131|0||||||7.0|True|||0.0|||||Mount Baker|3|||||||2006_07_25 221320|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"||||||ice and debris avalanche|Rock/ice/debris avalanches and slides|||
||||252|RESIF, INGV||2017_05_30 185427|252||||||||||43.85|6.0|6.7|0||||||244.0|False|||0.0|||||Saint Auban, France|1|||||||2017_05_30 185205|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||landslide|Rock/ice/debris avalanches and slides|||
36000.0|42000.0|17000.0|1100000.0|51|IRIS, Attachments below||2005_05_15 135216|51|1400.0|1460.0|1300.0||||3800.0|4400.0|3000.0|59.981|0.1|-153.06354|0||||||13.0|True|||0.0|||||South Twin 1|3|||||||2005_05_15 134616|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"|59.9595|-153.01577|59.981|-153.06354||rock avalanche|Rock/ice/debris avalanches and slides|91000.0|140000.0|62000.0
||||72|IRIS, Attachments below||2005_05_15 181618|72|1400.0|1460.0|1300.0||||3800.0|4400.0|3000.0|59.981|0.1|-153.06354|0||||||52.0|True|||0.0|||||South Twin 8|3|||||||2005_05_15 181525|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"|59.9595|-153.01577|59.981|-153.06354||rock avalanche|Rock/ice/debris avalanches and slides|44000.0|66000.0|30000.0
2600000.0|4000000.0|1900000.0|22000000.0|81|IRIS||2016_06_28 162606|81|1500.0||||||10000.0|||58.77918|0.0|-136.88827|1||||||1002.0|True|||500.0|False||||Lamplugh Glacier|4|||||||2016_06_28 162103|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"|58.82433|-136.88114|58.73174|-136.89472||rock avalanche|Rock/ice/debris avalanches and slides|64000000.0|66800000.0|61200000.0
22000.0|57000.0||120000.0|74|IRIS, NCEDC||2009_03_28 122804|74|560.0||||||550.0|||37.75212|0.0|-119.54105|0||||||366.0|True|||0.0|||||Ahwiyah Point|5|||||||2009_03_28 122601|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"|37.75346|-119.54335|37.75107|-119.53808||rock avalanche|Rock/ice/debris avalanches and slides|46700.0||
|||595000.0|130|IRIS||2013_06_14 124925|130|318.0||||||1230.0|||58.7906|0.0|-137.3528|0||||||251.0|True|||0.0|||||Johns Hopkins Glacier|4|||||||2013_06_14 124818|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|58.80075|-137.34997|58.7906|-137.3528||rock avalanche|Rock/ice/debris avalanches and slides|||
170000.0|260000.0|110000.0|1400000.0|160|IRIS||2018_07_11 003749|160|1300.0|1400.0|1100.0||||3600.0|4100.0|2900.0|60.0336|0.3|-153.076|0||||||172.0|True|||0.0||0.0||False|Red Glacier, Iliamna|4|||||||2018_07_11 002406|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|60.0211|-153.0205|60.0336|-153.076||ice avalanche|Rock/ice/debris avalanches and slides|2460000.0|6150000.0|1230000.0
22000.0|33000.0|15000.0|370000.0|161|IRIS||2019_03_26 180129|161|1300.0|1400.0|1200.0||||2500.0|2600.0|2400.0|60.0285|0.0|-153.0924|0||||||285.0|True|||0.0||0.0||False|Umbrella Glacier, Iliamna|4|||||||2019_03_26 180044|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|60.0111|-153.1159|60.0285|-153.0924||rock avalanche|Rock/ice/debris avalanches and slides|310000.0|450000.0|220000.0
||||164|IRIS||2021_04_07 132358|164||||||||||61.2992|3.0|-152.2542|0||||||281.0|True|||0.0||186.0|True|True|Mount Spurr|1|||||||2021_04_07 132206|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||landslide|Rock/ice/debris avalanches and slides|||
||||255|BGR, ETH||2002_07_13 130437|255|1000.0||||||1300.0|||46.34038|0.05|9.63292|0||||||259.0|False|||0.0|||||Vicosoprano, Switzerland|4|||||||2002_07_13 130223|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|46.34784|9.62674|46.34038|9.63292||rock slide|Rock/ice/debris avalanches and slides|50000.0|60000.0|40000.0
||||173|IRIS||2021_02_16 170957|173||||||||||45.3817|0.5|-121.6957|0||||||16.0|True|||0.0||0.0||False|Coe Glacier, Mount Hood|1|||||||2021_02_16 170614|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||snow avalanche|Snow avalanches|||
||||208|LMU, ETH, INGV||2012_03_22 225456|208||||||||||47.3535|0.15|11.0041|0||||||155.0|False|||0.0|||||Hochwand, Austria|3|||||||2012_03_22 225325|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||rock slide|Rock/ice/debris avalanches and slides|150000.0||
||||146|IRIS, GFZ, ORFEUS, IPGP, ISC||2009_08_14 200029|146|||2200.0||||8000.0|||14.59516|1.0|144.77155|1||||||126.0|False|||126.0|False||||NW Rota 1|5|||||||2009_08_14 153855|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||submarine landslide|Rock/ice/debris avalanches and slides||53000000.0|
400000.0|480000.0|340000.0|500000.0|182|IRIS||2011_03_10 141451|182|600.0|800.0|500.0||||2700.0|3200.0|2100.0|45.35093|0.05|-121.65988|0||||||33.0|True|||0.0|||||Mount Hood Ski area|3|||||||2011_03_10 141224|Steve Malone|45.34376|-121.64829|45.36119|-121.6779||snow avalanche|Snow avalanches|800000.0|1200000.0|400000.0
||||31|IRIS||2014_05_25 131948|31||||||||||39.16805|0.5|-107.8483|1||||||135.0|True|||490.0|True||||West Salt Creek precursor|5|||||||2014_05_25 131852|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"||||||landslide, debris flow|Rock/ice/debris avalanches and slides|586000.0|1000000.0|100000.0
||||118|IRIS||2011_06_29 034304|118||||||||||46.843|0.2|-121.75|0||||||13.0|True|||0.0|||||Nisqually 6|4|||||||2011_06_29 034204|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"|46.8205|-121.7379|46.843|-121.75||rock fall, rock and ice avalanche|Rock/ice/debris avalanches and slides|12000.0|17000.0|8600.0
6500.0|8000.0|5000.0|37000.0|60|IRIS, NCEDC||2015_03_31 012110|60|200.0|210.0|190.0||||230.0|270.0|210.0|41.37499|0.0|-122.15457|0||||||65.0|True|||0.0|||||Mount Shasta|4|||||||2015_03_31 012014|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"|41.37705|-122.15268|41.37499|-122.15457||landslide|Rock/ice/debris avalanches and slides|27000.0||
||||293|IRIS||2022_01_06 135004|293||||||||||46.1894|1.0|-122.1655|0||||||15.0|True|||0.0||||False|Shoestring Notch, Mount St Helens|2|||||||2022_01_06 133112|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||snow avalanche|Snow avalanches|||
11000.0|23000.0|5000.0|240000.0|133|IRIS||2016_05_30 101935|133|374.0||||||1073.0|||58.6313|0.0|-137.0251|0||||||358.0|True|||0.0||0.0||False|East Crillon|4|||||||2016_05_30 101628|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|58.63816|-137.01247|58.6313|-137.0251||rock avalanche|Rock/ice/debris avalanches and slides|120000.0|210000.0|65000.0
||||222|NIEP, ETH, ORFEUS, LMU, IRIS, INGV||2017_12_24 171355|222||||||||||47.04884|0.0|11.53554|1||||||238.0|False|||90.0|True||||Vals, Austria|4|||||||2017_12_24 171207|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|47.04423|11.53593|47.04884|11.53554||rock slide|Rock/ice/debris avalanches and slides|||
||||29|IRIS||2011_07_01 233627|29||||||||||46.843|0.2|-121.75|0||||||216.0|True|||0.0|||||Nisqually 7|4|||||||2011_07_01 233005|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"|46.8205|-121.7379|46.843|-121.75||rock fall, rock and ice avalanche|Rock/ice/debris avalanches and slides|160000.0|230000.0|120000.0
||||165|IRIS||2021_06_14 141817|165||||||||||61.2992|3.0|-152.2542|1||||||455.0|True|||500.0|False|98.0|True|True|Mount Spurr|1|||||||2021_06_14 141243|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||landslide|Rock/ice/debris avalanches and slides|||
||||66|IRIS, Attachments below||2005_05_15 142615|66|1400.0|1460.0|1300.0||||3800.0|4400.0|3000.0|59.981|0.1|-153.06354|0||||||57.0|True|||0.0|||||South Twin 2|3|||||||2005_05_15 141933|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"|59.9595|-153.01577|59.981|-153.06354||rock avalanche|Rock/ice/debris avalanches and slides|130000.0|190000.0|86000.0
||||224|RASPISHAKE, NIEP, ETH, GFZ, ORFEUS, LMU, BGR, IRIS, INGV||2018_05_07 042038|224||||||||||47.5831||13.0847|1||||||260.0|False|||193.0|True|0.0||False|Eck, Austria|1|||||||2018_05_07 041844|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||landslide|Rock/ice/debris avalanches and slides|||
||||234|ETH||2002_11_21 142306|234|480.0||||||800.0|||46.1674|0.3|7.7871|0||||||121.0|False|||0.0|||||Medji, Switzerland|3|||||||2002_11_21 142049|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||rock slide|Rock/ice/debris avalanches and slides|70000.0|84000.0|56000.0
||||272|IRIS, GEOFON||2014_07_21 232953|272|||||||2100.0|||65.0124|0.2|-16.6852|1||||||127.0|True|||584.0|False||||Askja Caldera|5|||||||2014_07_21 232404|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"|65.0238|-16.7264|65.0124|-16.6852||rock slide, outburst flood|Rock/ice/debris avalanches and slides|20000000.0|50000000.0|12000000.0
13000.0|17000.0|6200.0|330000.0|50|IRIS||2014_07_20 160506|50|1400.0|1500.0|1300.0||||2400.0|2410.0|2300.0|60.02682|0.0|-153.06288|0||||||9.0|True|||0.0||0.0||False|Iliamna|4|||||||2014_07_20 155816|"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;"|60.02386|-153.0423|60.02682|-153.06288||ice and rock avalanche|Rock/ice/debris avalanches and slides|150000.0|230000.0|97000.0
||||221|INGV, ORFEUS, LMU, IRIS||2017_10_20 022623|221||||||||||47.1673||12.764|0||||||83.0|False|||0.0|||||Großes Wiesbachhorn 2, Austria|1|||||||2017_10_20 022513|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||landslide|Rock/ice/debris avalanches and slides|||
||||232|LMU, BGR, INGV||2014_11_25 024955|232||||||||||47.0809|1.2|11.3359|0||||||114.0|False|||0.0|||||Stubaital, Austria|3|||||||2014_11_25 024839|"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;"||||||rock slide|Rock/ice/debris avalanches and slides|||
